query,query_id,query_type,first_answer,passage_text
how long does it take to get bigger muscles,20379,numeric,About 2 weeks to a month after the initial strength increase happens.,"Once your muscles start to get stronger, you should start seeing some initial growth in about 2 weeks to a month after the initial strength increase happens. Of course this is not exact and everyone is different so some may take longer and some shorter. It depends on your age, diet, rest levels, and so on. Genetics wills play a huge role in determining how long it takes to build muscle mass. Mind you, the gains won't be slabs of muscle mass but there will be some improvement. In terms of time frames, probably after one month of consistent training. If you consistently improve on a 3 month weight training cycle, you should see some pretty good muscle gains in about 15 weeks or so."
safe mode installer service,20380,description,,
course needed to become an anesthesiologist,20381,description,"4 years of undergraduate school, 4 years of medical school, and 3 to 8 years of residency.","Physicians specializing in anesthesiology must spend a substantial number of years completing education and training requirements, including 4 years of undergraduate school, 4 years of medical school, and 3 to 8 years of residency. Anesthesiologists complete a four year undergraduate program with premedical requirements, four years of medical school training, a one year internship, and three or more years of postgraduate training in an anesthesiology residency."
normal blood pressure levels by age,20382,numeric,"Normal, someone over age 40 can have a 140/90 reading and it can be considered perfectly acceptable.","Now a blood pressure of 120/80 is considered normal, and blood pressure readings of 130–139 are considered pre-hypertension. Readings above 140/90 are considered high blood pressure, and the current thinking is that anyone falling into this category should be taking medication to lower blood pressure. Blood Pressure Ranges Chart. As you age, your blood vessels become more rigid, and it's not uncommon for your systolic pressure (the top number) to increase. Although a reading of 120/80 is considered textbook normal, someone over age 40 can have a 140/90 reading and it can be considered perfectly acceptable."
is crete island beautiful,20383,description,Yes,"Information about the Beaches in Crete island, in Greece but also information about beaches in many locations of the island: Crete is the largest island of Greece and its coastline of 1,046 m (650 miles) provides hundreds of beautiful beaches. This place amazes visitors with the stunning natural beauty. Another of the most beautiful beaches of Crete is the exotic beach of Elafonissi in Chania, on the westernmost spot of Crete, as well as the long, sandy beach of Falassarna. Finding a perfect beach is not a problem for visitors, as there are nice clean beaches in Crete all around the island"
is there an age limit for learning speech,20384,description,No,"Furthermore, there is no loss of language ability or language learning ability over time. Age is not a detriment to language learning, and by all accounts, learning a second (or third etc) language actually keeps the older language learners mind active. People of all ages can benefit from learning languages."
what is a fungi,20385,description,"They are found in just about any habitat but most live on the land, mainly in soil or on plant material rather than in sea or fresh water.","About fungi. Fungi are important organisms and so distinct from plants and animals that they have been allotted a 'kingdom' of their own in our classifications of life on earth. The lower case 'fungi' is a general word that refers to organisms that all look and act the same, but are not all related. This group is artificial and includes moulds, yeasts, mushrooms, slime moulds, and water moulds (like Phytophthora, the cause of the Irish potato famine and Sudden Oak Death)."
what are the main functions of circulatory system,20386,description,Your blood is pumped around by the heart which is the main function in your circulatory system.,"The main function of the circulatory system is to get blood throught the body. Your blood is pumped around by the heart which is the main function in your circulatory system. The heart sends blood through your blood vessels. The circulatory system consists of the heart, blood vessels, lymph, blood, and the lymphatic vessels and glands."
who coined the term jazz,20387,person,F. Scott Fitzgerald,"F. Scott Fitzgerald and the Jazz Age. The Roaring 20’s The 20’s are also referred to as “The Jazz Age,” a term coined by F. Scott Fitzgerald The Jazz Age began with the end of WWI, at a time when, for the first time, the U.S. had emerged as a world power. The Jazz Age ended with the stock market crash of 1929."
how many pages is each part of heart of darkness,20388,numeric,90-ish pages per book,"Making the world better, one answer at a time. The book Heart of darkness bound with one of conrad's other works the secret sharer and they have about equal pages with about 90-ish pages per book."
what does the pituitary gland regulate,20389,description,The functions of other endocrine glands.,1 The hormones of the pituitary gland help regulate the functions of other endocrine glands. 2  The pituitary gland has two parts—the anterior lobe and posterior lobe—that have two very separate functions. 3  The hypothalamus sends signals to the pituitary to release or inhibit pituitary hormone production.
